# rig_trace started 2026-05-12T15:20:26.945
[rig_trace] start 2026-05-12T15:20:26.945  cc=COM8 xpb=- udp=8888
[+   8307.4 ms] [CC ] STATE -> E-STOP
[+   8307.4 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   8307.4 ms] [CC ] STATE -> E-STOP
[+   8307.4 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   8307.4 ms] [CC ] STATE -> E-STOP
[+   8307.4 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   8307.4 ms] [CC ] STATE -> E-STOP
[+   8307.4 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   8307.4 ms] [CC ] STATE -> E-STOP
[+   8510.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   8510.0 ms] [CC ] STATE -> E-STOP
[+   8510.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   8510.0 ms] [CC ] STATE -> E-STOP
[+   8510.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   8510.0 ms] [CC ] STATE -> E-STOP
[+   8510.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   8510.0 ms] [CC ] STATE -> E-STOP
[+   8510.0 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   8510.0 ms] [CC ] STATE -> E-STOP
[+   8711.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   8711.9 ms] [CC ] STATE -> E-STOP
[+   8711.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   8711.9 ms] [CC ] STATE -> E-STOP
[+   8711.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   8711.9 ms] [CC ] STATE -> E-STOP
[+   8711.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   8711.9 ms] [CC ] STATE -> E-STOP
[+   8711.9 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   8711.9 ms] [CC ] STATE -> E-STOP
[+   8912.5 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   8912.5 ms] [CC ] STATE -> E-STOP
[+   8912.5 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   8912.5 ms] [CC ] STATE -> E-STOP
[+   8912.5 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   8912.5 ms] [CC ] STATE -> E-STOP
[+   8912.5 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   8912.5 ms] [CC ] STATE -> E-STOP
[+   8912.5 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   8912.5 ms] [CC ] STATE -> E-STOP
[+   9113.1 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   9113.1 ms] [CC ] STATE -> E-STOP
[+   9113.1 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   9113.1 ms] [CC ] STATE -> E-STOP
[+   9113.1 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   9113.1 ms] [CC ] STATE -> E-STOP
[+   9113.1 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   9113.1 ms] [CC ] STATE -> E-STOP
[+   9113.2 ms] [CC ] E-STOP: XPB stale (mask expired)
[+   9113.2 ms] [CC ] STATE -> E-STOP
